time,drone,x,y,z,roll,pitch,yaw
50,14,0,2,0,0,0,0
50,15,0,2,0,0,0,0
50,16,0,2,0,0,0,0
50,17,0,2,0,0,0,0
50,18,0,2,0,0,0,0
50,19,0,2,0,0,0,0
50,20,0,2,0,0,0,0
50,21,0,2,0,0,0,0
50,22,0,2,0,0,0,0
50,23,0,2,0,0,0,0
50,24,0,2,0,0,0,0
50,25,0,2,0,0,0,0
50,26,0,2,0,0,0,0
50,27,0,2,0,0,0,0
50,28,0,2,0,0,0,0
50,29,0,2,0,0,0,0
50,30,0,2,0,0,0,0
50,31,0,2,0,0,0,0
55,0,-2,0,0,0,0,0
55,1,-2,0,0,0,0,0
55,2,-2,0,0,0,0,0
55,3,-2,0,0,0,0,0
55,4,-2,0,0,0,0,0
55,5,-2,0,0,0,0,0
55,6,-2,0,0,0,0,0
55,7,-2,0,0,0,0,0
55,8,-2,0,0,0,0,0
55,9,-2,0,0,0,0,0
55,10,-2,0,0,0,0,0
55,11,-2,0,0,0,0,0
55,12,-2,0,0,0,0,0
55,13,-2,0,0,0,0,0
55,14,-2,0,0,0,0,0
55,15,-2,0,0,0,0,0
55,16,-2,0,0,0,0,0
55,17,-2,0,0,0,0,0
55,18,-2,0,0,0,0,0
55,19,-2,0,0,0,0,0
55,20,-2,0,0,0,0,0
55,21,-2,0,0,0,0,0
55,22,-2,0,0,0,0,0
55,23,-2,0,0,0,0,0
55,24,-2,0,0,0,0,0
55,25,-2,0,0,0,0,0
55,26,-2,0,0,0,0,0
55,27,-2,0,0,0,0,0
55,28,-2,0,0,0,0,0
55,29,-2,0,0,0,0,0
55,30,-2,0,0,0,0,0
55,31,-2,0,0,0,0,0
60,0,0,-2,0,0,0,0
60,1,0,-2,0,0,0,0
60,2,0,-2,0,0,0,0
60,3,0,-2,0,0,0,0
60,4,0,-2,0,0,0,0
60,5,0,-2,0,0,0,0
60,6,0,-2,0,0,0,0
60,7,0,-2,0,0,0,0
60,8,0,-2,0,0,0,0
60,9,0,-2,0,0,0,0
60,10,0,-2,0,0,0,0
60,11,0,-2,0,0,0,0
60,12,0,-2,0,0,0,0
60,13,0,-2,0,0,0,0
60,14,0,-2,0,0,0,0
60,15,0,-2,0,0,0,0
60,16,0,-2,0,0,0,0
60,17,0,-2,0,0,0,0
60,18,0,-2,0,0,0,0
60,19,0,-2,0,0,0,0
60,20,0,-2,0,0,0,0
60,21,0,-2,0,0,0,0
60,22,0,-2,0,0,0,0
60,23,0,-2,0,0,0,0
60,24,0,-2,0,0,0,0
60,25,0,-2,0,0,0,0
60,26,0,-2,0,0,0,0
60,27,0,-2,0,0,0,0
60,28,0,-2,0,0,0,0
60,29,0,-2,0,0,0,0
60,30,0,-2,0,0,0,0
60,31,0,-2,0,0,0,0
